acid,epoxide,tg
CC(=O)c1cccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c1,Cc1ccc(C(=O)Nc2ccc(NC(=O)c3ccco3)cc2)c(OCC2CO2)c1OCC1CO1,493.5849
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2ccc3c(c2)OCCO3)c1=O,NC(=O)Nc1cccc(NC(=O)c2ccc3ccc(OCC4CO4)cc3c2OCC2CO2)c1,506.7308
O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(N2C(=O)c4ccccc4C2=O)C3=O)cc(C(=O)O)c1,COc1ccccc1NC(=O)CN1CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1,449.0163
CC(=O)Nc1cccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c1,Cc1ccc(NC(=O)CN(C)C(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,479.5926
O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(N2C(=O)c4ccccc4C2=O)C3=O)cc(C(=O)O)c1,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1cncc2ccccc12,476.0841
O=C(O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)O)cc2)C3=O)cc1,Cc1cccc(C(=O)NC2CCN(C(=O)C(=O)N(CC3CO3)CC3CO3)CC2)c1,465.2164
Cc1ccccc1CN(C)C(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,CC(=O)c1ccc(NC(=O)CCn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,458.8766
CC(=O)Nc1ccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,CN(C)C(=O)Cc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,455.3852
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2cccc(N3CCCC3=O)c2)c1=O,O=C(NCC1CO1)Nc1ccc(NC(=O)c2ccccc2OCC2CO2)cc1,437.9091
O=C(O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)O)cc2)C3=O)cc1,O=C(Nc1cccnc1OCc1ccccc1)N(CC1CO1)CC1CO1,492.7824
CC(C)(C)C(=O)Nc1ccc(C(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,Cc1cc(C)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1C=O,507.5579
CN(C)c1ccc(NC(=O)CCn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,O=C(Nc1cccc(N2C(=O)c3ccccc3C2=O)c1)c1cccc(OCC2CO2)c1OCC1CO1,465.4715
COc1ccc(NC(=O)C(=O)N2CCC(C)(C(=O)O)CC2)c(C(=O)O)c1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,450.1150
N#Cc1ccccc1Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,Cc1ccc(NC(=O)N(C)C)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,471.8020
O=C(O)c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2cccc(C(=O)O)c2)C3=O)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccc(N2CCC(O)CC2)cc1,487.6260
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2cccc(N3CCCC3=O)c2)c1=O,Cc1ccc(N2CCN(C(=O)Nc3ccc(C(=O)N(CC4CO4)CC4CO4)cc3)CC2)cc1C,445.0248
CN(C)C(=O)c1ccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,O=C(O)c1ccnc(NC(=O)N(CC2CO2)CC2CO2)c1,479.0536
O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(N2C(=O)c4ccccc4C2=O)C3=O)cc(C(=O)O)c1,O=C(C(=O)N(CC1CO1)CC1CO1)N1CCC(CCc2ccccc2)CC1,467.7174
O=C(O)CCC(CCC(=O)O)C(=O)Nc1ccc(C(=O)N2CC(=O)Nc3ccccc32)cc1,CCc1ccc(NC(=O)Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,490.0302
Cc1cc(C)c(NC(=O)c2cc(C(=O)O)c(C(=O)Nc3c(C)cc(C)cc3C)cc2C(=O)O)c(C)c1,CN(C(=O)c1ccco1)c1ccccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,478.0871
O=C(O)c1ccc2c(c1)C(=O)N(CCCCN1C(=O)c3ccc(C(=O)O)cc3C1=O)C2=O,O=C(Nc1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1)NC1CC1,500.9071
Nc1ccc(C(=O)O)c(NC(=O)c2ccc(C(=O)Nc3cc(N)ccc3C(=O)O)cc2)c1,O=C(CCCN1C(=O)c2ccccc2C1=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,482.6973
O=C(O)c1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(C(=O)O)c2)C3=O)c1,O=C(Nc1ccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1)NC1CC1,519.1934
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2ccc3c(c2)OCO3)c1=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)N1CCC(Nc2ccccc2)CC1,435.2585
O=C(Nc1ccc(O)c(C(=O)O)c1)c1cccc(C(=O)Nc2ccc(O)c(C(=O)O)c2)c1,COC(=O)c1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)o1,481.7653
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2ccc3ccccc3c2)c1=O,CC(=O)Nc1cc(NC(=O)C(=O)N(CC2CO2)CC2CO2)ccc1C,520.8927
O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)cc1)C2=O,N#Cc1ccc(CNC(=O)C(=O)N(CC2CO2)CC2CO2)cc1,479.5153
O=C(O)c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2cccc(C(=O)O)c2)C3=O)cc1,O=CNc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,518.4423
O=C(O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)O)cc2)C3=O)cc1,CC(C)Oc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,528.5963
O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccccc3C(=O)O)cc1)C2=O,COc1ccc(NC(=O)c2cccc(NC(=O)c3ccc(OCC4CO4)cc3OCC3CO3)c2)cn1,465.8118
CC(=O)NCc1ccc(C(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,COc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1N1CCNC1=O,486.0380
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)NC(=O)Nc2ccccc2)c1=O,NC(=O)c1ccccc1NC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1,476.9539
COc1ccccc1N1C(=O)c2ccc(C(=O)Nc3cc(C(=O)O)cc(C(=O)O)c3)cc2C1=O,O=C(Nc1ccc(OCC2CO2)cc1OCC1CO1)c1cc(C(=O)O)on1,509.5531
O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)cc1)C2=O,O=C(Nc1cccc(CO)c1)c1ccc(OCC2CO2)cc1OCC1CO1,479.6904
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)NC(=O)Nc2ccccc2)c1=O,Cc1cc(N2CCNC2=O)ccc1NC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,443.4645
CNC(=O)c1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,O=C(Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O)NCc1ccccc1,468.6576
CC(C)(C)C(=O)Nc1ccc(C(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,Cc1cc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c2cnn(C)c2n1,481.5544
