acid,epoxide,tg_md
Cc1ccc(NC(=O)NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c(C)c1,O=C(O)CNC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,477.1692
CCN(C(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O)c1ccccc1,CC(=O)Nc1c(C)cccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,554.3044
Cc1oc(C)c(C(=O)Nc2ccc(C(=O)O)cc2)c1C(=O)Nc1ccc(C(=O)O)cc1,NC(=O)c1ccc(N2CCN(C(=O)C(=O)N(CC3CO3)CC3CO3)CC2)cc1,513.0759
CC(=O)Oc1cc(C(=O)Nc2ccccc2C(=O)O)cc(C(=O)Nc2ccccc2C(=O)O)c1,CC(C)(C(=O)O)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,547.1212
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2ccc3c(c2)CCC3)c1=O,O=C(Nc1ccccn1)c1cccc(NC(=O)C(CC2CO2)CC2CO2)c1,559.8684
CC(C)C(=O)Nc1ccc(C(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,Cc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1C,570.5405
CC(=O)c1cccc(NC(=O)c2ccc(C(=O)O)cc2C(=O)O)c1,O=C(O)c1cncc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,591.8441
O=C(O)c1ccccc1Nc1cccc2c1C(=O)c1c(Nc3ccccc3C(=O)O)cccc1C2=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C1CCCN1C(=O)C1CC1,504.9365
O=C(O)c1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(C(=O)O)c2)C3=O)c1,CC(=O)Nc1ccc(OCC2CO2)c(C(=O)Nc2ccc(OCC3CO3)cc2C)c1,550.1343
O=C(O)c1cc(C=C2CCc3c2nc2ccccc2c3C(=O)O)ccc1O,O=C(Nc1ccccc1)Nc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,535.0705
