acid,epoxide,tg
O=C(O)COCCCCCCCCCCCCCCCCCCOCC(=O)O,c1ccc(OCc2cccc(CN(CCCOCC3CO3)CCOCC3CO3)c2)cc1,268.9889
O=C(O)COCCN(CCOCC(=O)O)CCN1CCOCC1,COCCCCCN(CC1CO1)CC1CO1,262.3053
CCCOc1ccc(CN(CCOCC(=O)O)CCOCC(=O)O)c(C)c1,CCCCCOc1cc(CN(CCCOCC2CO2)CCOCC2CO2)ccc1OC,256.2249
O=C(O)CCCCCCCCCCCCCCCCCC(=O)O,Cc1ccc(CCN(CCOCC2CO2)CCOCC2CO2)cc1,231.0167
CC(C)N1CCN(CCCN(CCCOCC(=O)O)CCOCC(=O)O)CC1,C(CCCCC1CO1)CCCCC1CO1,264.8623
O=C(O)COCCCCNCCCCOCC(=O)O,COc1ccc(OC)c(CN(CCCCOCC2CO2)CCOCC2CO2)c1,260.7600
O=C(O)CCC(=O)OCCNCCOC(=O)CCC(=O)O,CCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,262.8957
COc1ccc(CN(CCOCCOCC(=O)O)CCOCC(=O)O)cc1,CCCCCCCCCCCCCCCCCc1cc(OCC2CO2)cc(OCC2CO2)c1,267.5675
O=C(O)COCCCN(CCOCC(=O)O)CC1CCCCCC1,C(CNCCCOCC1CO1)COCC1CO1,257.3696
CCN(CCCOCC(=O)O)Cc1ccccc1CN(CC)CCCOCC(=O)O,Cc1ccc(CCN(CCOCC2CO2)CCOCC2CO2)cc1,259.3424
O=C(O)COCC(COCC(=O)O)NCc1ccccc1Oc1cccnc1,C(COCCOCCOCCOCC1CO1)OCCOCCOCCOCCOCC1CO1,256.3703
O=C(O)CCCOCC(=O)N1CCC(CNCCOCCC(=O)O)CC1,C(=CCCCCCCCCOCC1CO1)CCCCCCCCOCC1CO1,262.6075
O=C(O)COCCCN(CCCC1CCCCC1)CCOCC(=O)O,Cc1ccccc1CCCN(CCCOCC1CO1)CCOCC1CO1,262.0912
O=C(O)COCCCCCCCCCCCCCCCCCOCC(=O)O,COc1ccc(OCCCNC(COCC2CO2)COCC2CO2)cc1,277.2127
CN(CCCCOCC(=O)O)CCOCCOCC(=O)O,CN(C)c1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,237.1008
CCCCCCCCN(CCOCC(=O)O)CCN(CCCCCCCC)CCOCC(=O)O,CCc1cccc(CNCCc2ccccc2OCC2CO2)c1OCC1CO1,271.4918
CCCCCCCCCCCCCCCCCCN(CCC(=O)O)CCC(=O)O,C1CCC(CN(CC2CO2)CC2CO2)C1,240.8676
O=C(O)COCCCCCCCCCCCCCCCCCCOCC(=O)O,O=C(COCCC1CO1)NCCCNCCCCCC1CO1,261.0723
CCOc1cc(CCOCC(=O)O)ccc1OCCCOCC(=O)O,c1ccc(CN(CCOCCOCC2CO2)CCOCCOCC2CO2)cc1,255.0101
COC(=O)c1ccc(CN(CCOCC(=O)O)CCOCC(=O)O)cc1C,CCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,253.4215
CCCCN(CCOCCOCC(=O)O)CCOCC(=O)O,c1ccc(COCCCCC(COCC2CO2)COCC2CO2)cc1,267.4577
CCCCCCCCCCCCCCCCCC(=O)N(CCOCC(=O)O)CCOCC(=O)O,COc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,264.8374
CC(C)N1CCN(CCCN(CCC(=O)O)CCC(=O)O)CC1,C(CCOCC1CO1)CNCCCCOCC1CO1,236.6572
CCCCCCCCNC(CC(=O)O)C(=O)O,C(COCC1CO1)OCCN1CCN(CCOCCOCC2CO2)CC1,265.3238
CCN(CCCCOCC(=O)O)CCOCCOCC(=O)O,c1ccc(OCCCCOCC2CO2)c(CN2CCC(CCCOCC3CO3)CC2)c1,270.8564
