acid,epoxide,tg
O=C(O)C=CCCC(=O)O,O=C(NCCN1C(=O)COc2ccccc21)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,405.4408
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)Nc2cnn(CC3CC3)c2)cc1,COc1ccccc1CNC(=O)c1ccc(C)c(OCC2CO2)c1OCC1CO1,395.4607
COc1ccc2ccccc2c1CNC(=O)N(CCC(=O)O)CCC(=O)O,CC(C)N(CC1CO1)C(=O)c1ccc(NC(=O)C2CO2)cc1,396.667
O=C(O)CCN1CCC(NC(=O)c2cccc(C(=O)NC3CCN(CCC(=O)O)CC3)n2)CC1,COc1cc(C=CC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)ccc1OCCC(=O)O,357.6808
Cc1cc(CNC(=O)C(CCC(=O)O)CCC(=O)O)on1,C(CCN1CCN(CCCCC2CO2)CC1)CC1CO1,308.8194
O=C(O)CCCNCc1ccc(OCC(=O)O)cc1,c1cc(COCC2CO2)ccc1CNc1ccc(COCCOCC2CO2)cc1,314.6827
CCN(C(=O)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1)C1CCC1,O=C(c1ccc(OCC2CO2)cc1)C1CCN(C(=O)COc2ccccc2OCC2CO2)CC1,416.2661
COc1ccc(NC(=O)C(CCC(=O)O)CCC(=O)O)c2cccnc12,Cn1c(C(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)cccc1=O,383.6736
O=C(O)COCC1(COCC(=O)O)CC(NC(=O)c2ccc(Oc3ccccc3)cc2)C1,Cc1cc(NC(=O)c2cc(C)nc(OCC3CO3)c2)cc(OCC2CO2)c1,412.909
O=C(O)CCC(CCC(=O)O)C(=O)OCC(=O)N1CCOCC1,Cc1cc(CNC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)ncn1,390.9326
CC(CCCC(=O)O)NCc1ccc(OCCC(=O)O)cc1,CC(C(=O)Nc1cccc2ccccc12)N(CC1CO1)CC1CO1,356.8878
O=C(O)COCC(COCC(=O)O)NC(=O)CCC1CCCC1,c1cc2c(cc1CN(CC1CO1)CC1CO1)CCO2,332.6159
O=C(O)CCN(CCC(=O)O)C(=O)NCCCn1ccc2ccccc21,NC(=O)COc1ccc(NC(=O)c2cc(OCC3CO3)cc(OCC3CO3)n2)cc1,367.5993
Cc1nn(C)cc1CNc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,CNC(=O)CCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,361.741
COc1cc(CNC(COCC(=O)O)COCC(=O)O)cc2ccccc12,CCc1cccc(CN2CCc3ccc(OCC4CO4)cc3CC2)c1OCC1CO1,330.6077
O=C(O)CN1CCC(NC(=O)CC2(C(=O)O)CCC2)CC1,COc1cncc(C(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)n1,374.3203
CC(C)(C)CCC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,CC(=O)Nc1cc2ccccc2cc1C(=O)OCC(=O)N(CC1CO1)CC1CO1,404.8045
O=C(O)CCCOCC(=O)N1CCC(CNCC(=O)NCCC(=O)O)CC1,Cc1ccc(C(=O)N2CCC(Oc3ccccc3)CC2)c(OCC2CO2)c1OCC1CO1,362.7638
O=C(O)CCC(CCC(=O)O)C(=O)NCC1CCC(NC(=O)C2CCC2)CC1,CC(=O)OCCCc1cccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)c1,375.1963
O=C(O)CCNC(=O)CNC(=O)N1CCC(O)(CCC(=O)O)CC1,Cc1ccc(CN(C)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)nc1,425.9321
